Price;Broker;HouseStatus;Address;Bed;Bath;Spsqft;SizeAcre,,,,,,,
$129,900;Brokered by Kori Shook & Associates;For Sale;13683 Gratiot RdHemlock,MI 48626;3bed;2bath;1,200sqft1,200 square feet;0.61acre lot0.61 acre lot,,,
$79,900;Brokered by RE MAX 1st Realty;Contingent;5 Lawrence DrMarquette,MI 49855;3bed;2bath;1,165sqft1,165 square feet;0.5acre lot0.5 acre lot,,,
$289,000;Brokered by Keller Williams of NM Signature Group;For Sale;9496 Riverside DrSaint Louis,MI 48880;3bed;1.5bath;2,370sqft2,370 square feet;5.9acre lot5.9 acre lot,,,
$325,000;Brokered by REMERICA HOMETOWN III;For Sale;42127 Cherrylawn CtCanton,MI 48187;3bed;1.5bath;1,639sqft1,639 square feet;8,712sqft lot8,712 square foot lot,
$109,900;Brokered by Quest Realty Llc;For Sale;20875 Ridgemont RdHarper Woods,MI 48225;2bed;1bath;767sqft767 square feet;8,276sqft lot8,276 square foot lot,,,
$499,000;Brokered by Berkshire Hathaway HomeServices Kee Realty Bham;For Sale;5970 Hosner RdAddison Township,MI 48370;3bed;2bath;2,500sqft2,500 square feet;5.04acre lot5.04 acre lot,,,
$549,000;Brokered by Keller Williams Grand Rapids North;For Sale;Fremont,MI 49412;9bed;9.5+bath;6,929sqft6,929 square feet;0.38acre lot0.38 acre lot,,,
$12,500;Brokered by RE/MAX Platinum - Grand Blanc;For Sale;V/L Kathie DrMills Township,MI 48756;0.5acre lot0.5 acre lot;;;,,,,,
$425,000;Brokered by Dwelling Realty - KW Northern Michigan;For Sale;6918 Lakeshore RdManistee,MI 49660;3bed;0.5bath;850sqft850 square feet;1.5acre lot1.5 acre lot,,,,,
$249,900;Brokered by Kori Shook & Associates;For Sale;1266 N State RdOwosso,MI 48867;3bed;1.5bath;1,536sqft1,536 square feet;0.87acre lot0.87 acre lot,,,
$239,900;Brokered by Golden Key Realty;Contingent;1996 S Cavalier DrCanton,MI 48188;3bed;1.5bath;1,604sqft1,604 square feet;7,405sqft lot7,405 square foot lot,
$120,000;Brokered by Keystone Home Group Realty Llc;Pending;111 Prospect AvePlainwell,MI 49080;1bed;1bath;608sqft608 square feet;7,841sqft lot7,841 square foot lot,,,
$89,900;Brokered by City2shore Real Estate Northern Michigan;For Sale;S 47 3/4 RdCadillac,MI 49601;12.89acre lot12.89 acre lot;;;,,,,,
$539,000;Brokered by Berkshire Hathaway HomeServices Michigan Real Estate - Boyne City;For Sale;2403 Schroeder RdEast Jordan,MI 49727;3bed;2.5bath;2,200sqft2,200 square feet;8acre lot8 acre lot,,,
$35,000;Brokered by Re/Max North Country;For Sale;27.80 Ac Parks Farm RdCrystal Falls,MI 49920;27.8acre lot27.8 acre lot;;;,,,,,
$189,900;Brokered by Pat O'Brien;For Sale;01357 Powder Ridge C / Door Dr Units 46 & 846Boyne City,MI 49713;4bed;3bath;2,248sqft2,248 square feet;,,,
From$333,440;Built by Allen Edwin Homes;For Sale;Integrity 1810 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;4bed;2.5bath;1,822sqft1,822 square feet;Ready to build,,
From$432,555;Built by Allen Edwin Homes;For Sale;Elements 2200 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;2.5bath;2,246sqft2,246 square feet;Ready to build,,
From$401,455;Built by Allen Edwin Homes;For Sale;Elements 1870 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;2.5bath;1,870sqft1,870 square feet;Ready to build,,
From$513,835;Built by Allen Edwin Homes;For Sale;Traditions 3100 V8.0g Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;4bed;2.5bath;3,070sqft3,070 square feet;Ready to build,,
From$419,785;Built by Allen Edwin Homes;For Sale;Elements 1800 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;2.5bath;1,805sqft1,805 square feet;Ready to build,,
From$469,980;Built by Allen Edwin Homes;For Sale;Elements 2700 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;4bed;2.5bath;2,735sqft2,735 square feet;Ready to build,,
From$368,525;Built by Allen Edwin Homes;For Sale;Elements 2100 Plan,Stillwater CommunityDavison,MI 48423;3bed;2.5bath;2,121sqft2,121 square feet;Ready to build,,
$57,000;Brokered by Stephens Real Estate;For Sale;Tbd Cable Lake RdIron River,MI 49935;Studio;480sqft480 square feet;1.55acre lot1.55 acre lot;,,,,,
$115,000;Brokered by Stephens Real Estate;For Sale;Tbd Lerza RdSagola,MI 49981;1bed;1bath;1,000sqft1,000 square feet;40acre lot40 acre lot,,,
